,A,B,max_Delay
0,92,93,12879
1,92,94,8645
2,92,95,29187
3,92,96,8827
4,92,97,13819
5,92,98,9009
6,92,99,31603
7,92,100,9191
8,93,2,186
9,93,3,186
10,93,4,558
11,93,5,651
12,93,6,930
13,93,7,1116
14,93,8,1488
15,93,9,930
16,93,10,1674
17,93,11,1395
18,93,12,1674
19,93,13,3906
20,93,14,5952
21,93,15,1674
22,93,16,1767
23,93,17,2418
24,93,18,2232
25,93,19,6324
26,93,20,5022
27,93,21,2046
28,93,22,2604
29,93,23,3441
30,93,24,13206
31,93,25,42408
32,93,26,3720
33,93,27,3720
34,93,28,5859
35,93,29,4743
36,93,30,26970
37,93,31,2790
38,93,32,3441
39,93,33,7905
40,93,34,5022
41,93,35,3906
42,93,36,3906
43,93,37,7626
44,93,38,4278
45,93,39,9114
46,93,40,20460
47,93,41,5580
48,93,42,6231
49,93,43,7347
50,93,44,5580
51,93,45,4464
52,93,46,8370
53,93,47,5766
54,93,48,6231
55,93,49,6510
56,93,50,7254
57,93,51,13485
58,93,52,5580
59,93,53,7254
60,93,54,10416
61,93,55,9486
62,93,56,9486
63,93,57,6231
64,93,58,29946
65,93,59,10230
66,93,60,11439
67,93,61,111786
68,93,62,9486
69,93,63,8742
70,93,64,7254
71,93,65,10602
72,93,66,39246
73,93,67,116622
74,93,68,13020
75,93,69,12090
76,93,70,18228
77,93,71,13950
78,93,72,8742
79,93,73,14043
80,93,74,13485
81,93,75,8649
82,93,76,21855
83,93,77,16368
84,93,78,10416
85,93,79,14229
86,93,80,15624
87,93,81,10323
88,93,82,12276
89,93,83,17298
90,93,84,13764
91,93,85,14787
92,93,86,17484
93,93,87,17949
94,93,88,20646
95,93,89,19530
96,93,90,16926
97,93,91,8649
98,93,92,778596
99,93,93,8648
100,93,94,8740
101,93,95,20930
102,93,96,8924
103,93,97,9016
104,93,98,22178
105,93,99,9200
106,93,100,9292
107,94,2,94
108,94,3,564
109,94,4,376
110,94,5,1880
111,94,6,1410
112,94,7,3384
113,94,8,940
114,94,9,2256
115,94,10,1128
116,94,11,1128
117,94,12,1504
118,94,13,3384
119,94,14,1504
120,94,15,1786
121,94,16,5452
122,94,17,3572
123,94,18,2632
124,94,19,3196
125,94,20,2538
126,94,21,5640
127,94,22,3478
128,94,23,26884
129,94,24,6016
130,94,25,3760
131,94,26,7990
132,94,27,6580
133,94,28,3478
134,94,29,4982
135,94,30,3196
136,94,31,4230
137,94,32,11468
138,94,33,9400
139,94,34,5546
140,94,35,8084
141,94,36,40044
142,94,37,4888
143,94,38,6580
144,94,39,6110
145,94,40,7332
146,94,41,8648
147,94,42,6016
148,94,43,8930
149,94,44,5264
150,94,45,6580
151,94,46,97290
152,94,47,4324
153,94,48,7896
154,94,49,5358
155,94,50,13630
156,94,51,5264
157,94,52,15228
158,94,53,7144
159,94,54,16356
160,94,55,8084
161,94,56,22372
162,94,57,7332
163,94,58,15604
164,94,59,7708
165,94,60,68244
166,94,61,8836
167,94,62,11186
168,94,63,7332
169,94,64,7708
170,94,65,8554
171,94,66,7144
172,94,67,8272
173,94,68,15228
174,94,69,10058
175,94,70,12972
176,94,71,8836
177,94,72,8084
178,94,73,9306
179,94,74,7708
180,94,75,12220
181,94,76,18236
182,94,77,11374
183,94,78,23688
184,94,79,13348
185,94,80,12220
186,94,81,12126
187,94,82,33276
188,94,83,13348
189,94,84,11468
190,94,85,13066
191,94,86,12784
192,94,87,13724
193,94,88,11656
194,94,89,14758
195,94,90,19928
196,94,91,12972
197,94,92,8836
198,94,93,804264
199,94,94,8835
200,94,95,13441
201,94,96,9021
202,94,97,13917
203,94,98,9207
204,94,99,14401
205,94,100,9393
206,95,2,190
207,95,3,570
208,95,4,380
209,95,5,380
210,95,6,950
211,95,7,950
212,95,8,1140
213,95,9,1140
