,A,B,max_Delay
0,2,2,1
1,2,3,1
2,2,4,1
3,2,5,1
4,2,6,1
5,2,7,1
6,2,8,1
7,2,9,1
8,2,10,1
9,2,11,1
10,2,12,1
11,2,13,1
12,2,14,1
13,2,15,1
14,2,16,1
15,2,17,1
16,2,18,1
17,2,19,1
18,2,20,1
19,2,21,1
20,2,22,1
21,2,23,1
22,2,24,1
23,2,25,1
24,2,26,1
25,2,27,1
26,2,28,1
27,2,29,1
28,2,30,1
29,2,31,1
30,2,32,1
31,2,33,1
32,2,34,1
33,2,35,1
34,2,36,1
35,2,37,1
36,2,38,1
37,2,39,1
38,2,40,1
39,2,41,1
40,2,42,1
41,2,43,1
42,2,44,1
43,2,45,1
44,2,46,1
45,2,47,1
46,2,48,1
47,2,49,1
48,2,50,1
49,2,51,1
50,2,52,1
51,2,53,1
52,2,54,1
53,2,55,1
54,2,56,1
55,2,57,1
56,2,58,1
57,2,59,1
58,2,60,1
59,2,61,1
60,2,62,1
61,2,63,1
62,2,64,1
63,2,65,1
64,2,66,1
65,2,67,1
66,2,68,1
67,2,69,1
68,2,70,1
69,2,71,1
70,2,72,1
71,2,73,1
72,2,74,1
73,2,75,1
74,2,76,1
75,2,77,1
76,2,78,1
77,2,79,1
78,2,80,1
79,2,81,1
80,2,82,1
81,2,83,1
82,2,84,1
83,2,85,1
84,2,86,1
85,2,87,1
86,2,88,1
87,2,89,1
88,2,90,1
89,2,91,1
90,2,92,1
91,2,93,1
92,2,94,1
93,2,95,1
94,2,96,1
95,2,97,1
96,2,98,1
97,2,99,1
98,2,100,1
99,3,2,1
100,3,3,4
101,3,4,10
102,3,5,15
103,3,6,9
104,3,7,16
105,3,8,9
106,3,9,23
107,3,10,11
108,3,11,14
109,3,12,26
110,3,13,14
111,3,14,30
112,3,15,16
113,3,16,34
114,3,17,39
115,3,18,21
116,3,19,40
117,3,20,21
118,3,21,47
119,3,22,23
120,3,23,26
121,3,24,50
122,3,25,26
123,3,26,54
124,3,27,28
125,3,28,58
126,3,29,63
127,3,30,33
128,3,31,64
129,3,32,33
130,3,33,71
131,3,34,35
132,3,35,38
133,3,36,74
134,3,37,38
135,3,38,78
136,3,39,40
137,3,40,82
138,3,41,87
139,3,42,45
140,3,43,88
141,3,44,45
142,3,45,95
143,3,46,47
144,3,47,50
145,3,48,98
146,3,49,50
147,3,50,102
148,3,51,52
149,3,52,106
