,A,B,max_Delay
0,2,2,4
1,2,3,6
2,2,4,10
3,2,5,10
4,2,6,12
5,2,7,14
6,2,8,18
7,2,9,18
8,2,10,20
9,2,11,22
10,2,12,26
11,2,13,26
12,2,14,28
13,2,15,30
14,2,16,34
15,2,17,34
16,2,18,36
17,2,19,38
18,2,20,42
19,2,21,42
20,2,22,44
21,2,23,46
22,2,24,50
23,2,25,50
24,2,26,52
25,2,27,54
26,2,28,58
27,2,29,58
28,2,30,60
29,2,31,62
30,2,32,66
31,2,33,66
32,2,34,68
33,2,35,70
34,2,36,74
35,2,37,74
36,2,38,76
37,2,39,78
38,2,40,82
39,2,41,82
40,2,42,84
41,2,43,86
42,2,44,90
43,2,45,90
44,2,46,92
45,2,47,94
46,2,48,98
47,2,49,98
48,2,50,100
49,2,51,102
50,2,52,106
51,2,53,106
52,2,54,108
53,2,55,110
54,2,56,114
55,2,57,114
56,2,58,116
57,2,59,118
58,2,60,122
59,2,61,122
60,2,62,124
61,2,63,126
62,2,64,130
63,2,65,130
64,2,66,132
65,2,67,134
66,2,68,138
67,2,69,138
68,2,70,140
69,2,71,142
70,2,72,146
71,2,73,146
72,2,74,148
73,2,75,150
74,2,76,154
75,2,77,154
76,2,78,156
77,2,79,158
78,2,80,162
79,2,81,162
80,2,82,164
81,2,83,166
82,2,84,170
83,2,85,170
84,2,86,172
85,2,87,174
86,2,88,178
87,2,89,178
88,2,90,180
89,2,91,182
90,2,92,186
91,2,93,186
92,2,94,188
93,2,95,190
94,2,96,194
95,2,97,194
96,2,98,196
97,2,99,198
98,2,100,202
99,3,2,6
100,3,3,12
101,3,4,24
102,3,5,20
103,3,6,24
104,3,7,31
105,3,8,35
106,3,9,58
107,3,10,106
108,3,11,66
109,3,12,48
110,3,13,78
111,3,14,56
112,3,15,60
113,3,16,67
114,3,17,71
115,3,18,112
116,3,19,196
117,3,20,120
118,3,21,84
119,3,22,132
120,3,23,92
121,3,24,96
122,3,25,103
123,3,26,107
124,3,27,166
125,3,28,286
126,3,29,174
127,3,30,120
128,3,31,186
129,3,32,128
130,3,33,132
131,3,34,139
132,3,35,143
133,3,36,220
134,3,37,376
135,3,38,228
136,3,39,156
137,3,40,240
138,3,41,164
139,3,42,168
140,3,43,175
141,3,44,179
142,3,45,274
143,3,46,466
144,3,47,282
145,3,48,192
146,3,49,294
147,3,50,200
148,3,51,204
149,3,52,211
150,3,53,215
151,3,54,328
152,3,55,556
153,3,56,336
154,3,57,228
155,3,58,348
156,3,59,236
157,3,60,240
158,3,61,247
159,3,62,251
160,3,63,382
161,3,64,646
162,3,65,390
163,3,66,264
164,3,67,402
165,3,68,272
166,3,69,276
167,3,70,283
168,3,71,287
169,3,72,436
